company,year,BS_TOT_ASSET,ENVIRONMENTAL_SCORE,ESG_SCORE,GOVERNANCE_SCORE,RD_EXPEND_TO_NET_SALES,RETURN_COM_EQY,RETURN_ON_ASSET,SOCIAL_SCORE,log_assets,RD_transformed,has_RD,small_firm,sector_Consumer cyclical,sector_Consumer defensive ,sector_Industrials ,sector_Technology,sector_Utilities,sector_financials 
ALMB DC Equity,2021,42235.0,0.0,1.12,4.84,2.1306,6.3371,1.5943,0.22,10.651004540161596,1.1412246794719854,1,0,False,False,False,False,False,True
ALMB DC Equity,2022,35590.0,0.14,1.63,5.93,1.607,2.715,0.9611,0.82,10.47981997850424,0.9582001349513647,1,0,False,False,False,False,False,True
ALMB DC Equity,2023,35569.0,0.14,1.64,6.0,2.5492,4.4046,1.7201,0.82,10.479229750968448,1.2667222259790456,1,0,False,False,False,False,False,True
ALMB DC Equity,2024,35435.0,0.14,1.64,6.0,2.8052,5.7662,2.1886,0.82,10.475455311244357,1.336368552350165,1,0,False,False,False,False,False,True
BOOZT SS Equity,2021,5057.8,6.67,5.15,7.18,1.1206,9.2394,4.152,3.09,8.52868688512745,0.7516990675095608,1,1,True,False,False,False,False,False
BOOZT SS Equity,2022,5992.2,7.27,6.07,6.51,1.2125,7.9544,3.3683,4.93,8.698213902477143,0.7941230978999475,1,1,True,False,False,False,False,False
BOOZT SS Equity,2023,5959.0,7.27,6.07,6.51,2.0057,8.9211,3.8992,4.93,8.69265796074698,1.10051048595119,1,1,True,False,False,False,False,False
BOOZT SS Equity,2024,6293.0,7.27,6.07,6.51,1.0844,11.9916,5.5828,4.93,8.747193183526933,0.7344810440529225,1,1,True,False,False,False,False,False
CARLB DC Equity,2021,126383.0,3.34,3.22,5.32,0.2101,16.1453,5.584,1.84,11.747072257978925,0.19070300082186978,1,0,False,True,False,False,False,False
CARLB DC Equity,2022,115341.0,3.66,3.62,6.3,0.2101,-2.7468,-0.8795,1.99,11.655648237150892,0.19070300082186978,1,0,False,True,False,False,False,False
CARLB DC Equity,2024,113328.0,3.51,3.71,6.81,0.2101,35.7455,8.0974,2.01,11.638041547993405,0.19070300082186978,1,0,False,True,False,False,False,False
DANSKE DC Equity,2021,4196057.0,2.53,3.17,7.67,1.9516,7.5255,0.3111,1.56,15.24965583277212,1.0823473962020744,1,0,False,False,False,False,False,True
DANSKE DC Equity,2022,3790556.0,3.2,3.56,7.72,1.2333,-2.8152,-0.1147,1.88,15.148023268145913,0.8034803122442918,1,0,False,False,False,False,False,True
DANSKE DC Equity,2023,3729291.0,3.2,3.56,7.72,1.5142,12.6553,0.5655,1.88,15.131728693123469,0.9219546614985936,1,0,False,False,False,False,False,True
DANSKE DC Equity,2024,3716042.0,3.2,3.56,7.72,2.6286,13.4475,0.6347,1.88,15.128169681327774,1.2888468989539257,1,0,False,False,False,False,False,True
DFDS DC Equity,2021,30721.0,3.39,3.59,6.33,2.7838,8.7261,3.3191,1.01,10.332701738815134,1.3307287956701819,1,0,False,False,True,False,False,False
DFDS DC Equity,2022,34084.0,6.76,5.33,6.04,2.6351,16.4303,6.2032,1.68,10.436583344947849,1.2906366209234494,1,0,False,False,True,False,False,False
DFDS DC Equity,2023,34873.0,6.76,5.33,6.04,2.4736,11.1815,4.3534,1.68,10.459468169808977,1.2451915201418904,1,0,False,False,True,False,False,False
DFDS DC Equity,2024,39281.0,6.76,5.33,6.04,2.514,3.8638,1.4402,1.68,10.578496220392818,1.2567549897649053,1,0,False,False,True,False,False,False
DNORD DC Equity,2021,2453.5,6.37,5.1,5.64,2.6424,21.574,9.5599,1.85,7.805270855529958,1.2926428050384353,1,1,False,False,True,False,False,False
DNORD DC Equity,2022,2755.4,7.24,5.9,5.73,1.2229,63.9845,28.27132832,3.29,7.921317901610498,0.798812649714727,1,1,False,False,True,False,False,False
